"transaction_id","procedure_id","trans_group_id","trans_group_ar","trans_group_en","procedure_name_ar","procedure_name_en","instance_date","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","property_usage_ar","property_usage_en","reg_type_id","reg_type_ar","reg_type_en","area_id","area_name_ar","area_name_en","building_name_ar","building_name_en","project_number","project_name_ar","project_name_en","master_project_en","master_project_ar","nearest_landmark_ar","nearest_landmark_en","nearest_metro_ar","nearest_metro_en","nearest_mall_ar","nearest_mall_en","rooms_ar","rooms_en","has_parking","procedure_area","actual_worth","meter_sale_price","rent_value","meter_rent_price","no_of_parties_role_1","no_of_parties_role_2","no_of_parties_role_3"
"1-11-2004-2099","11","1","مبايعات","Sales","بيع","Sell","04-10-2004","4","فيلا","Villa",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","249","المطينه","Al Muteena","","",null,"","","","","مطار دبي الدولي","Dubai International Airport","محطة مترو صلاح الدين","Salah Al Din Metro Station","مول دبي","Dubai Mall","","","0","860.28","4500000","5230.86",null,null,"3","1","0"
"1-11-2010-15769","11","1","مبايعات","Sales","بيع","Sell","25-10-2010","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","350","الثنيه الخامسة","Al Thanyah Fifth","جرين ليكس اس 1","GREEN LAKES S1",null,"","","Jumeirah Lakes Towers"," ابراج بحيرات الجميرا","برج العرب","Burj Al Arab","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","غرفة","1 B/R","1","100.80","928756","9213.85",null,null,"1","1","0"
"1-11-2008-211116","11","1","مبايعات","Sales","بيع","Sell","18-12-2008","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","350","الثنيه الخامسة","Al Thanyah Fifth","سبا 2","SABA 2","463"," سابا تاور 2","SABA TOWER 2","Jumeirah Lakes Towers"," ابراج بحيرات الجميرا","برج العرب","Burj Al Arab","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","غرفتين","2 B/R","1","137.45","796970","5798.25",null,null,"1","2","0"
"1-11-2010-3056","11","1","مبايعات","Sales","بيع","Sell","10-03-2010","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","485","معيصم الأول","Me'Aisem First","ذا كريسنت بي","THE CRESCENT  B","447","كرسسنت","THE CRESCENT","International Media Production Zone","المنطقة العالمية للإنتاج الإعلامي","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","استوديو","Studio","1","47.65","519000","10891.92",null,null,"1","2","0"
"1-11-2009-214345","11","1","مبايعات","Sales","بيع","Sell","20-07-2009","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","330","مرسى دبي","Marsa Dubai","المرجان 1","Murjan 1",null,"","","Jumeriah Beach Residence  - JBR","جميرا بيتش ريزيدنس  - الجيه بي آر ","برج العرب","Burj Al Arab","مساكن شاطئ الجميرا","Jumeirah Beach Resdency","مارينا مول","Marina Mall","ثلاث غرف","3 B/R","1","178.52","699000","3915.53",null,null,"1","1","0"
"1-110-2014-1257","110","1","مبايعات","Sales","تسجيل إيجارة تنتهى بالتملك","Lease to Own Registration","16-06-2014","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","330","مرسى دبي","Marsa Dubai","مارينا بينكال","Marina Pinnacle","817","مارينا بيناكل","MARINA PINNACLE","Dubai Marina","دبي مارينا","برج العرب","Burj Al Arab","مينا السياحي","Mina Seyahi","مارينا مول","Marina Mall","غرفة","1 B/R","1","77.81","1250000","16064.77",null,null,"2","2","2"
"2-13-2014-3052","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","14-04-2014","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","445","جبل علي الأولى","Jabal Ali First","","","1283","الفرجان","AL FURJAN","Al Furjan","الفرجان","موقع إكسبو 2020","Expo 2020 Site","محطة مترو ابن بطوطة","Ibn Battuta Metro Station","ابن بطوطة مول","Ibn-e-Battuta Mall","","","0","224.00","2300000","10267.86",null,null,"1","1","0"
"1-102-2015-1532","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","10-02-2015","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","447","الخيران الأولى","Al Khairan First","ذا دبي كريك ريزيدنيسيس - نورث تاور 1","THE DUBAI CREEK RESIDENCES - NORTH TOWER 1","1597","دبي كريك ريزيدنس","THE DUBAI CREEK RESIDENCES","The Lagoons","الخيران","مطار دبي الدولي","Dubai International Airport","محطة مترو الخور","Creek Metro Station","مول دبي","Dubai Mall","ثلاث غرف","3 B/R","1","199.77","3655888","18300.49",null,null,"1","1","0"
"1-102-2008-13176","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","14-05-2010","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","466","وادي الصفا 4","Wadi Al Safa 4","Wadi Walk Z3.5","Wadi Walk Z3.5","1065","وادي ووك","WADI WALK","City Of Arabia","ستي اوف ارابيا","","","","","","","غرفتين","2 B/R","0","146.42","1891200","12916.27",null,null,"1","1","0"
"1-41-2015-3894","41","1","مبايعات","Sales","بيع مبدئى","Delayed Sell","02-07-2015","4","فيلا","Villa",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","343","ورسان الاولى","Al Warsan First","","","1384","ورسان فيلج A","WARSAN VILLAGE A","International City Phase 1","المدينة العالمية - المرحلة الاولى","","","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","","","0","154.00","1746000","11337.66",null,null,"1","1","0"
